"conceptTitel","countWork"
"Radiobiology","6"
"Pet imaging","3"
"Reprogramming","4"
"Homing (biology)","2"
"Mathematical physics","1"
"Invariant (physics)","1"
"Applications of nanotechnology","4"
"Geology","3"
"Meteorology","1"
"Magnetic field","4"
"Nuclear magnetic resonance","10"
"Work (physics)","2"
"Oceanography","3"
"Chromatography","7"
"Agarose","1"
"Hyperthermia therapy","2"
"Magnetic particle inspection","1"
"Imaging phantom","3"
"Focus (optics)","2"
"Biomagnetism","1"
"Particle (ecology)","1"
"Hyperthermia Treatment","1"
"Statistical physics","1"
"Ion","4"
"Environmental science","2"
"Plasma","5"
"Ionization","1"
"Homogeneous","1"
"Chemical physics","1"
"Atmospheric-pressure plasma","3"
"Food and drug administration","7"
"Extracellular matrix","9"
"Integrin","3"
"Statistics","8"
"Lipid bilayer","1"
"Flexibility (engineering)","2"
"Nuclear physics","22"
"Monte Carlo method","1"
"Range (aeronautics)","3"
"Proton","4"
"Computational physics","1"
"Bragg peak","1"
"Nuclear receptor","1"
"Mutant","4"
"Polyethylene glycol","4"
"PEGylation","1"
"Nanorod","9"
"Hydrophobic effect","1"
"Paclitaxel","7"
"Pharmacogenomics","5"
"Annona muricata","1"
"Optoelectronics","23"
"Melanoma","7"
"Black phosphorus","5"
"Endocrinology","4"
"Amino acid","8"
"Nitric oxide","3"
"Arginine","4"
"Metabolic pathway","2"
"Anaerobic bacteria","1"
"Nanocapsules","3"
"Sphingolipid","3"
"Ubiquitin ligase","2"
"NEDD4","1"
"Heat shock protein","1"
"Expert opinion","1"
"Toxicology","1"
"DNA repair","6"
"Poly ADP ribose polymerase","2"
"Polymerase","3"
"Synthetic lethality","1"
"Lethality","1"
"Perception","1"
"Business","7"
"Marketing","2"
"Patient satisfaction","3"
"Small molecule","15"
"Druggability","1"
"Photoacoustic imaging in biomedicine","11"
"Indocyanine green","3"
"Resistance (ecology)","2"
"Acquired resistance","1"
"Risk analysis (engineering)","11"
"Human–computer interaction","3"
"Ultrasound","7"
"Modality (human–computer interaction)","3"
"Ultrasound imaging","3"
"Sonodynamic therapy","7"
"Focused ultrasound","1"
"Multimodal therapy","6"
"Epigenesis","1"
"Somatic evolution in cancer","1"
"Tumor heterogeneity","1"
"Radiochemistry","10"
"Irradiation","5"
"Ionizing radiation","2"
"Radium","1"
"Radium-223","1"
"Bone metastasis","1"
"Radionuclide therapy","8"
"Luminescence","4"
"Photon upconversion","3"
"Biological imaging","1"
"Small interfering RNA","6"
"Metal","4"
"Noble metal","1"
"Power (physics)","1"
"Composite number","12"
"Carbon fibers","9"
"Functional imaging","1"
"Clonogenic assay","1"
"Oligonucleotide","9"
"Nanofiber","3"
"Tetraphenylethylene","1"
"Polyphenol","4"
"Epigallocatechin gallate","1"
"Gallate","1"
"Cisplatin","6"
"Pentoxifylline","1"
"Pharmacotherapy","2"
"Relative biological effectiveness","2"
"Linear energy transfer","1"
"Dentistry","7"
"Oral cavity","4"
"Multiple myeloma","4"
"Proteasome inhibitor","1"
"Bortezomib","1"
"Carfilzomib","1"
"Posttranslational modification","1"
"Neddylation","1"
"DNA damage","5"
"Immunogenicity","6"
"Abandonment (legal)","1"
"Biochemical engineering","11"
"Biofilm","1"
"In situ","3"
"Acrylamide","1"
"PLGA","7"
"Methacrylamide","1"
"Brain cancer","3"
"Gene silencing","2"
"CRISPR","5"
"Genome editing","2"
"Heterologous","1"
"Glutamine","2"
"Medical care","1"
"Economics","13"
"Economic growth","2"
"Healthcare delivery","1"
"Microbubbles","1"
"Toxicity","7"
"Microvesicles","6"
"Exosome","4"
"Vasculogenic mimicry","1"
"Mimicry","1"
"Kinase","1"
"Cell cycle","4"
"Cyclin-dependent kinase 2","1"
"Protein kinase A","1"
"Enzyme inhibitor","1"
"Cyclin-dependent kinase","1"
"Structure–activity relationship","1"
"CDK inhibitor","1"
"Clinical psychology","7"
"Coping (psychology)","1"
"Significant difference","1"
"Self-efficacy","1"
"Nonprobability sampling","1"
"Carbon nanotube","7"
"Cell growth","5"
"Antibiotics","5"
"Social psychology","3"
"Group psychotherapy","3"
"Scale (ratio)","1"
"Cohesion (chemistry)","1"
"Group cohesiveness","1"
"Group analysis","1"
"Platinum","6"
"Plasmon","3"
"Platinum nanoparticles","3"
"Simvastatin","1"
"MRI contrast agent","1"
"Radiation oncology","3"
"Proteomics","4"
"Biomarker discovery","2"
"Systematic evolution of ligands by exponential enrichment","4"
"SELEX Aptamer Technique","2"
"Affinities","3"
"Gastroenterology","1"
"Anxiety","3"
"Cancer pain","3"
"Distress","2"
"Morita therapy","1"
"Psychological distress","1"
"Operating system","15"
"Window (computing)","2"
"Infrared","5"
"Therapeutic window","2"
"Dopamine","1"
"Hydrogen","1"
"Hydrogen production","1"
"Hydride","1"
"Nanocrystal","1"
"Hypoxia (environmental)","9"
"Biomolecule","3"
"Excited state","1"
"Oxidative stress","5"
"KEAP1","1"
"Distribution (mathematics)","2"
"Surface charge","3"
"Arginase","1"
"Argininosuccinate synthase","1"
"Multidisciplinary approach","4"
"Traditional Chinese medicine","2"
"Copper","4"
"Chelation","4"
"Transmetalation","1"
"Hydrogen peroxide","2"
"Fenton reaction","1"
"Glucose oxidase","2"
"Biosensor","5"
"Immunosuppression","1"
"Rehabilitation","3"
"Physical medicine and rehabilitation","2"
"Occupational therapy","1"
"Avidity","1"
"Circulating tumor cell","3"
"Cancer metastasis","2"
"Computational model","1"
"Human genetics","1"
"Stromal cell","2"
"Telecommunications","8"
"Wireless","4"
"Photonics","2"
"Phenotype","5"
"Complementation","1"
"Niche","1"
"Complement (music)","1"
"Management science","2"
"Receptor tyrosine kinase","1"
"Tyrosine kinase","4"
"Epidermal growth factor receptor","3"
"Stage (stratigraphy)","3"
"Tumor-infiltrating lymphocytes","1"
"Thermodynamics","3"
"Electronic engineering","2"
"Colorectal cancer","15"
"Urea","1"
"Urea cycle","1"
"Differential (mechanical device)","1"
"Sensitivity (control systems)","2"
"Cancer survival","2"
"Molecular oncology","1"
"Chronic lymphocytic leukemia","1"
"Ibrutinib","1"
"Precision oncology","2"
"Radiation","3"
"Lanthanide","1"
"Antibacterial activity","1"
"Schiff base","1"
"Polymerization","4"
"Folic acid","2"
"Polypyrrole","2"
"Folate receptor","1"
"Sulforaphane","1"
"Glycoprotein","2"
"Glycan","1"
"Fullerene","2"
"Intensity (physics)","6"
"Profiling (computer programming)","2"
"Process (computing)","7"
"Anatomy","6"
"Art","12"
"Literature","10"
"Hyaluronic acid","6"
"Dual (grammatical number)","11"
"Nanoshell","4"
"Polysaccharide","6"
"Finite element method","1"
"Volume (thermodynamics)","2"
"Temperature gradient","1"
"Multiphysics","1"
"Perioperative","1"
"Chondrosarcoma","1"
"Hydantoin","1"
"Politics","1"
"Promotion (chess)","1"
"Chemokine","1"
"Chemokine receptor","1"
"CXCR4","1"
"Bladder cancer","11"
"Retinoblastoma","3"
"Iontophoresis","1"
"Set (abstract data type)","1"
"Real world data","1"
"Data collection","1"
"Data set","1"
"Criminology","2"
"Collateral damage","2"
"Mesoporous organosilica","3"
"Angiogenesis inhibitor","1"
"Suppressor","1"
"Cholesterol","1"
"Diabetes mellitus","1"
"Blood lipids","1"
"Hyperlipidemia","1"
"Lipid metabolism","1"
"Metabolism disorder","1"
"Lipid Metabolism Disorder","1"
"Coronavirus disease 2019 (COVID-19)","4"
"Infectious disease (medical specialty)","5"
"Viral therapy","2"
"Oncolytic adenovirus","2"
"Amine gas treating","2"
"Lung cancer","17"
"Dielectric","1"
"Ferroelectricity","1"
"Bismuth","2"
"Ablation","1"
"Bismuth ferrite","1"
"Multiferroics","1"
"Ferrite (magnet)","1"
"Tumor ablation","1"
"Glucocorticoid","1"
"Systemic therapy","10"
"Mesothelin","1"
"Protein kinase B","1"
"PI3K/AKT/mTOR pathway","1"
"Drug action","1"
"Mechanism of action","4"
"Polymersome","1"
"Characterization (materials science)","5"
"Delivery system","7"
"Adoptive immunotherapy","2"
"Poloxamer","2"
"Finance","10"
"PEG ratio","7"
"DNA replication","1"
"Extracellular","8"
"Intracellular pH","1"
"Hepatocellular carcinoma","7"
"Sorafenib","1"
"Enzyme assay","1"
"Tolerability","3"
"Matrix metalloproteinase","1"
"Cas9","1"
"Adjuvant therapy","3"
"Downregulation and upregulation","3"
"CD44","2"
"Polyelectrolyte","1"
"Software engineering","1"
"Glutathione peroxidase","1"
"Glutathione","4"
"Peroxide","1"
"Lipid peroxidation","1"
"Lipid peroxide","1"
"Dependency (UML)","1"
"GPX4","1"
"Ethylene glycol","5"
"Bispecific antibody","2"
"Monoclonal antibody therapy","2"
"Hybridoma technology","1"
"Magic bullet","2"
"NAD+ kinase","1"
"Sirtuin","1"
"Contraindication","1"
"Natural product","1"
"Plant metabolism","1"
"Asteraceae","1"
"Sesquiterpene lactone","1"
"Sesquiterpene","1"
"Lipoxygenase","1"
"Mode of action","1"
"Antimicrobial peptides","1"
"Cell membrane","3"
"Effector","4"
"Membrane permeability","1"
"Oxygenation","1"
"Physiology","2"
"Tissue hypoxia","1"
"Heparin","2"
"Myocardial infarction","2"
"Troponin","1"
"Neutron capture","13"
"Nucleus","2"
"Nuclear localization sequence","1"
"Carboplatin","1"
"NLS","1"
"Genome","2"
"Genomics","1"
"Allele","1"
"Identification (biology)","4"
"Antigen","5"
"Chimeric antigen receptor","3"
"Microorganism","1"
"Betulinic acid","1"
"Bimetallic strip","1"
"Absorption (acoustics)","1"
"Polyaniline","2"
"Lithium (medication)","1"
"Isotopes of boron","1"
"Nanometre","1"
"Epilepsy","2"
"Ketogenic diet","2"
"Homeostasis","2"
"Dual role","2"
"Fusion gene","1"
"Bcl-xL","1"
"Puma","1"
"Cytotoxic T cell","5"
"Endoplasmic reticulum","2"
"Unfolded protein response","1"
"Growth factor","2"
"Mannose","2"
"Mannose 6-phosphate","2"
"Serotype","1"
"Salmonella","1"
"Salmonella enterica","1"
"Immunity","2"
"Active ingredient","1"
"Biopolymer","1"
"Hematologic Neoplasms","1"
"Plasmonic nanoparticles","2"
"Solid lipid nanoparticle","2"
"Tumor progression","2"
"Lymphoma","1"
"Adeno-associated virus","1"
"Vector (molecular biology)","1"
"Computational chemistry","2"
"Charge (physics)","2"
"Isomerization","1"
"Proteome","1"
"Long non-coding RNA","1"
"Nuclear chemistry","3"
"Inorganic chemistry","3"
"Metal ions in aqueous solution","1"
"Iminodiacetic acid","1"
"Inflammation","3"
"Anakinra","1"
"Brachytherapy","2"
"Prostate","5"
"Operations research","6"
"Penetration (warfare)","6"
"DNA origami","2"
"Cognition","2"
"Cog","1"
"Metalloprotein","1"
"Modern medicine","1"
"Medical nutrition therapy","2"
"Copper sulfide","1"
"Sugar","2"
"MMP9","1"
"Molecular beacon","1"
"Triple-negative breast cancer","5"
"Antifungal","1"
"Ruthenium","2"
"Palladium","1"
"Pyrazole","1"
"Azole","1"
"Nucleotide excision repair","1"
"Cockayne syndrome","1"
"History","3"
"Milestone","1"
"Methotrexate","2"
"Semiconductor","3"
"Hormone","2"
"Indole test","1"
"Cruciferous vegetables","1"
"Endocrine system","1"
"Kidney cancer","4"
"Spect imaging","1"
"Self-healing hydrogels","5"
"Head (geology)","1"
"Carbon Nanoparticles","1"
"Preclinical testing","1"
"Benchmarking","1"
"Regenerative medicine","3"
"Relevance (law)","3"
"Humanized mouse","1"
"Genetically engineered","2"
"Human disease","1"
"Layer (electronics)","1"
"PEDOT:PSS","1"
"Nanosheet","2"
"Janus","2"
"Collective motion","1"
"Cell-penetrating peptide","1"
"Mitosis","1"
"Biosynthesis","1"
"Polyamine","1"
"Aryl hydrocarbon receptor","1"
"Adoptive cell transfer","2"
"Absorbance","2"
"Organic dye","1"
"Blood circulation","1"
"Hematology","1"
"Microsystem","2"
"Lymphatic system","1"
"Compartment (ship)","1"
"Nanoclusters","2"
"Phosphorus","2"
"Systemic administration","1"
"Tobacco mosaic virus","1"
"Mitoxantrone","1"
"Mosaic","1"
"Near-infrared spectroscopy","1"
"Macrophage","3"
"Mannose receptor","1"
"Nuclear medicine imaging","2"
"Radionuclide imaging","1"
"Gastrointestinal cancer","2"
"Music therapy","1"
"Ligand (biochemistry)","4"
"Mdm2","4"
"Nuclear engineering","3"
"Blocking (statistics)","1"
"Neutron","5"
"Neutron temperature","1"
"Neutron poison","1"
"Neutron source","2"
"Epithermal neutron","1"
"Kinetics","2"
"Reciprocity (cultural anthropology)","1"
"Cyanine","2"
"Macroeconomics","2"
"Financial crisis","1"
"Systemic risk","1"
"Storm","1"
"Brain tumor","2"
"Biodegradable polymer","1"
"Supramolecular chemistry","5"
"HeLa","1"
"Crystal structure","3"
"Pancreas","1"
"Reduction (mathematics)","1"
"Crystallinity","2"
"Fabrication","3"
"Spinel","1"
"Solvothermal synthesis","1"
"Proinflammatory cytokine","1"
"Electrode","2"
"Electrochemistry","2"
"Prussian blue","2"
"Magnetization","3"
"Superparamagnetism","3"
"Ferrofluid","1"
"Innate immune system","1"
"Nanomaterial-based catalyst","1"
"Clinical efficacy","1"
"Chlorin","1"
"Electrical engineering","3"
"CMOS","1"
"Remote patient monitoring","1"
"Renting","1"
"Core (optical fiber)","4"
"Chemotherapeutic drugs","1"
"Multivariate analysis","2"
"Observational study","1"
"Anesthesia","5"
"Analysis of variance","1"
"Post-hoc analysis","1"
"Chemoradiotherapy","1"
"Glioma","2"
"Moiety","2"
"Fatty acid","1"
"Turn (biochemistry)","1"
"Public health","2"
"Health psychology","1"
"Solubility","1"
"Palliative care","5"
"Ozone therapy","2"
"Oxygen therapy","2"
"Palliative Therapy","1"
"Clioquinol","1"
"Crystallography","4"
"Center (category theory)","1"
"Saliva","1"
"Dry mouth","1"
"Cardiology","6"
"Ejection fraction","1"
"Blood flow","1"
"Thyroid cancer","5"
"Cardiac function curve","3"
"Pericardium","1"
"Cardiac magnetic resonance imaging","1"
"Frontier","1"
"Radiosensitizer","1"
"Arginine deiminase","1"
"Clinical endpoint","1"
"Guideline","2"
"Selection (genetic algorithm)","3"
"Cancer vaccine","4"
"Mesenchymal stem cell","3"
"Novelty","1"
"Second-line therapy","1"
"First line therapy","1"
"Myeloid leukemia","2"
"Regulator","3"
"China","2"
"Interventional radiology","1"
"Macromolecule","1"
"Superoxide dismutase","2"
"Radical polymerization","2"
"Nitroxide mediated radical polymerization","2"
"Dextran","1"
"Acoustics","2"
"Repertoire","1"
"Mental health","1"
"Narrative","2"
"Narrative therapy","1"
"Marital status","1"
"Learned helplessness","1"
"Electroporation","1"
"Radioimmunotherapy","1"
"Endosome","1"
"Gene knockdown","2"
"Surface (topology)","1"
"Phenanthroline","1"
"Silicon","2"
"Nanowire","1"
"Silicon nanowires","1"
"Ambulatory","1"
"Ambulatory care","1"
"Nanodot","1"
"valvular heart disease","1"
"Cardiac imaging","1"
"Carboxypeptidase A","1"
"Carboxypeptidase","1"
"Charged particle","1"
"Polyethylenimine","2"
"Visual arts","1"
"Viewpoints","1"
"Life expectancy","1"
"Malignancy","2"
"Death anxiety","1"
"Manganese","2"
"Manganese oxide","1"
"General surgery","2"
"Random variable","1"
"Random function","1"
"Herpes simplex virus","1"
"Pharmacophore","1"
"Nasopharyngeal carcinoma","1"
"Nasopharyngeal cancer","1"
"Natural compound","1"
"Hydroxide","1"
"Layered double hydroxides","1"
"Radiosensitivity","1"
"Antiangiogenic therapy","1"
"Zeta potential","1"
"Cell culture","2"
"Neuroblastoma","1"
"Cascade","1"
"Urology","5"
"Myocarditis","1"
"Bruton's tyrosine kinase","2"
"Tyrosine-kinase inhibitor","2"
"Adhesion","3"
"Microparticle","1"
"Warburg effect","1"
"Activator (genetics)","1"
"Zhàng","1"
"Tyrosine","1"
"Binding protein","1"
"Lead compound","1"
"Binding affinities","1"
"Phosphorylation","1"
"Isomerase","1"
"Serine","1"
"PIN1","1"
"Prolyl isomerase","1"
"Cis-trans-Isomerases","1"
"Peptidylprolyl isomerase","1"
"Genotype","1"
"Pharmacy","3"
"Pharmacogenetics","1"
"Oncogene","1"
"Nanoreactor","4"
"Erlotinib","2"
"Transferrin","2"
"Nanorobotics","2"
"Astrobiology","2"
"Corona (planetary geology)","1"
"Venus","1"
"CAR T-cell therapy","1"
"Component (thermodynamics)","1"
"Matrix (chemical analysis)","2"
"Androgen","1"
"Management of prostate cancer","1"
"Androgen deprivation therapy","1"
"Thyroid","3"
"Retinoblastoma protein","1"
"E2F","1"
"Optogenetics","1"
"Silence","1"
"General partnership","1"
"Magnetite","1"
"Magnetosome","1"
"Scope (computer science)","2"
"Surface engineering","1"
"3D cell culture","1"
"Biogenesis","1"
"Extracellular vesicle","1"
"Mutation","2"
"Glutamate carboxypeptidase II","1"
"Radioiodine therapy","1"
"Radioactive iodine","1"
"Histidine","1"
"Cellulose","2"
"Sodium","2"
"Radionuclide","1"
"Carboxymethyl cellulose","2"
"Gadolinium","2"
"Adrenal insufficiency","1"
"Series (stratigraphy)","1"
"Opsonin","1"
"Antibody opsonization","1"
"Network packet","2"
"Automotive engineering","1"
"Truck","1"
"Payload (computing)","2"
"Unintended consequences","1"
"Allosteric regulation","2"
"MDMX","2"
"C-Met","1"
"Hepatocyte growth factor","1"
"Hepatocyte Growth Factor Receptor","1"
"Ring (chemistry)","1"
"Feature (linguistics)","2"
"Cover (algebra)","3"
"Sydnone","1"
